id,question,difficulty,category,expected_document,expected_chunk_ids,retrieved_documents,retrieved_chunk_ids,generated_answer,correctness,groundedness,relevance,latency_seconds,hit@7,recall@7,precision@7,mrr,ndcg@7
38,What customization options will customers have for the new AirPods according to the product requirements?,medium,multi_section,AIRPOD-PRD,"[138, 139]",AIRPOD-PRD | IT-Security-Policy,"[129, 134, 139, 138, 130, 149, 135]","## Customization Options Specified in the Product Requirements  

| **Customization Area** | **What the Requirement Calls For** | **Key Details / Priority** |
|------------------------|------------------------------------|----------------------------|
| **Fit Customization** | • Offer **multiple custom‑fit options** that provide an ideal fit for **≥ 98 % of the general population**.<br>• Ensure the earbuds stay securely in the ear during a **10 km run** for users of different heights, ethnicities, and sexes. | *Priority: P10 (fit coverage) / P9 (running stability)* |
| **Engraving Service** | • Provide an **optional engraving service** so customers can add **texts or icons** onto the product. | *Priority: P3* |
| **Colorways** | • Release the earbuds in **at least five colorways**.<br>• Mandatory colors: **black, white, gold**.<br>• Additional selectable colors from Apple’s wearables palette: **Pine Green, Khaki, Cactus, Seafoam, Coastal Grey, Alaskan Blue, Stone**. | *Priority: P5* |
| **Overall Customization Goal** | • All of the above options are intended to let customers **personalize the look, feel, and secure fit** of the new AirPods, differentiating them from existing models and competitors. | — |

### Summary  

- **Fit options**: Multiple interchangeable or adaptive ear‑tip/ear‑shell designs that accommodate virtually all ear shapes and stay in place during vigorous activity.  
- **Personal engraving**: Optional text or icon laser‑etched onto the earbuds or charging case.  
- **Color choices**: A minimum of five finishes, with three core colors (black, white, gold) plus a selection from a broader palette of Apple‑style hues.  

These are the only customization features explicitly defined in the provided product requirements. No additional customization details (e.g., software themes, interchangeable hardware modules) are mentioned in the supplied context.",9,10,9,4.915,1,1.0,0.2857,0.3333,0.5706
39,"If I lose one of my AirPods, will the new version help me find it?",easy,paraphrase,AIRPOD-PRD,[136],AIRPOD-PRD | Leave-Policy,"[133, 129, 134, 130, 136, 132, 122]","### Answer

**Yes – the new version of the AirPods includes a built‑in tracking feature that helps you locate a lost earbud.**

#### How it works
| Feature | Description (from the project document) |
|---------|-------------------------------------------|
| **Tracker connectivity** | *“The product shall have connectivity to a tracker app that lets the user find lost earphones.”* (Requirement 2.4, P5) |
| **Find My integration** | *“He can also track his earbuds to the location where they were last connected to his phone via the Find My app.”* (User Story #2 – William) |

#### What you can expect
- **Location reporting:** When an AirPod is out of the case, it will communicate its last known position to your iPhone.
- **Find My app:** You can open the Find My app on your iPhone, iPad, or Mac to see the last connected location on a map and trigger a sound (if the earbud still has battery) to help you locate it.
- **Seamless experience:** The tracking capability is built into the earbuds themselves; no extra hardware or subscription is required.

#### Limitations (as per the provided context)
- The document does not specify the exact range, battery requirements for the sound‑play feature, or whether the earbuds can be located when they are completely out of power.  
- No additional details are given about precision or integration with other Apple services beyond the Find My app.

---

**In summary:** The next‑generation AirPods are designed with a tracker‑app connection (compatible with Apple’s Find My) that enables you to locate a lost earbud by showing its last known location and, when possible, playing a sound to help you find it.",7,4,7,4.607,1,1.0,0.1429,0.2,0.3869
40,"Will the new AirPods support fast charging, and how much listening time can I get from it?",medium,multi_section,AIRPOD-PRD,"[136, 137]",AIRPOD-PRD | Employee-Handbook,"[129, 136, 130, 137, 134, 262, 132]","### Fast‑Charging Capability

- **Feature:** The next‑generation AirPods will include a **“Fast Fuel” quick‑charge mode**.  
- **Performance:** This mode allows the earbuds to be charged **for up to one hour of playback in under five minutes**.  
- **Reference:** Requirement **2.5** in the project document.

### Expected Listening Time

- **Total Playback:** The accompanying charger is specified to deliver **more than 20 hours of total listening time** on a full charge.  
- **Reference:** Requirement **2.6** in the project document.

---

**Summary**

- **Fast charging?** **Yes** – the AirPods will support a rapid‑charge feature (“Fast Fuel”) that provides roughly an hour of listening after a ≤ 5‑minute charge.  
- **Listening duration?** **> 20 hours** of total playback on a full charge, as defined for the charger.  

*All information is taken directly from the provided project requirements.*",9,10,9,2.662,1,1.0,0.2857,0.5,0.6509
41,What durability and environmental tests must the new AirPods pass before release?,hard,multi_section,AIRPOD-PRD,"[140, 141]",AIRPOD-PRD | IT-Security-Policy,"[141, 129, 130, 142, 134, 140, 200]","## Durability & Environmental Tests Required for the New AirPods  

| # | Test Category | Specific Test (as defined in the PRD) | Standard / Test Method | Acceptance / Pass Criteria | Priority (P‑code) |
|---|---------------|---------------------------------------|------------------------|----------------------------|-------------------|
| 1 | **Mechanical Strength** | **Guided Drop Test** – drop from 1.22 m onto lauan plywood from 26 different directions. | IEC 60068 (drop‑test guideline) | No functional or cosmetic failure after all drops. | P9 |
| 2 | | **Vibration Test** – 3 axes, 1 h per axis, frequency sweep 20 Hz → 2 kHz. | IEC 60068 (vibration guideline) | Device must operate correctly throughout and after test. | P8 |
| 3 | | **Hammer Impact Test** – per IEC 60068‑2‑75. | IEC 60068‑2‑75 (hammer impact) | No damage or loss of functionality. | P9 |
| 4 | | **Soft‑Pressure Test** – 1 000 cycles of 1 000 N load. | Internal test procedure (P8) | 100 % of units survive without permanent deformation or failure. | P8 |
| 5 | | **Accelerated Life Test (ALT)** – includes swinging temperatures, stress, strain, and corrosion. | Internal ALT protocol (P8) | 100 % pass rate. | P8 |
| 6 | **Environmental Resistance – Moisture & Water** | **Ingress Protection (IP‑X4)** – water & sweat resistance. | IEC 60529 (IP rating) | Must meet IP‑X4 rating. | P9 |
| 7 | | **Humidity Resistance** – 10 days exposure: 16 h/day at 45 % RH, 8 h/day at 95 % RH. | Internal humidity test (P8) | No functional degradation. | P8 |
| 8 | | **Salt‑Fog Resistance** – 5 % salt fog for 24 h, then 24 h drying. | Internal salt‑fog test (P8) | No corrosion or performance loss. | P8 |
| 9 | | **UV‑Discoloration Test** – continuous UV light for 10 days (total 1 120 W/m²), equivalent to 2 000 h direct sunlight. | Internal UV‑aging test (P9) | Color saturation change ≤ 2 %. | P9 |
|10| **Temperature & Pressure** | **Temperature Endurance** – cycle through –21 °C to +50 °C, holding each degree for 3 h. | Internal temperature cycling (no P‑code given) | Device remains functional across full range. | – |
|11| | **Low‑Pressure (Altitude) Test** – simulate 4 572 m (57.11 kPa) for 2 h. | Internal low‑pressure test (P6) | No performance loss at simulated altitude. | P6 |
|12| **Electromagnetic Compatibility (EMC)** | **EMI Testing** – compliance with IEC 61000‑4‑2 (ESD), IEC 61000‑4‑6 (RF immunity), IEC 61000‑4‑11 (Immunity to voltage dips). | IEC 61000‑4‑2, ‑4‑6, ‑4‑11 | Pass all emission & immunity limits. | P9 |
|13| **User‑Health Feature (not a durability test but required)** | **Hearing‑Health Protection** – notify user when WHO weekly listening dose or 85 dB limit is exceeded. | Internal software requirement (P9) | Accurate detection & user notification. | P9 |

### Summary  

- **Mechanical durability** is verified through drop, vibration, hammer impact, soft‑pressure, and ALT tests.  
- **Environmental robustness** covers water/sweat (IP‑X4), humidity, salt‑fog, UV‑induced discoloration, temperature cycling, and low‑pressure (high‑altitude) exposure.  
- **Electromagnetic compatibility** must meet the three IEC 61000‑4 series standards.  
- All tests have explicit pass criteria (e.g., 100 % pass for ALT, ≤ 2 % color change for UV, meeting IP‑X4, etc.) and are assigned a priority code (P6‑P9) indicating their importance in the project plan.  

These are the complete set of durability and environmental tests that the next‑generation AirPods must successfully complete before they can be released, as defined in the provided Product Requirements Document.",9,10,9,7.811,1,1.0,0.2857,1.0,0.8316
42,When was the next-generation AirPods planned to be released according to the AIRPOD-PRD?,easy,keyword_search,AIRPOD-PRD,[143],AIRPOD-PRD | policy-and-procedures-of-medication-administration-and-follow-up,"[129, 130, 143, 134, 135, 276, 136]","### Planned Release Date for the Next‑Generation AirPods  

| Milestone | Planned Date |
|-----------|--------------|
| **Planned release** (as stated in the AirPods PRD) | **October 28, 2019** |

According to the **Product Requirements Document (PRD)** for Project B298, the next‑generation AirPods were scheduled to be released on **10/28/2019**.",8,7,9,2.457,1,1.0,0.1429,0.3333,0.5
43,Does the AIRPOD-PRD specify how much the new AirPods will cost customers when they are released?,medium,negative,AIRPOD-PRD,[139],AIRPOD-PRD,"[129, 130, 134, 132, 135, 136, 133]","### Answer

**No.**  
The provided AirPods Product Requirements Document (PRD) does **not** contain any information about the retail price or cost that customers will pay when the new AirPods are released.

#### Evidence from the Document
- The sections included in the excerpt cover:
  - Project background and objectives
  - Stakeholder and user‑story descriptions
  - Detailed product‑design and functionality requirements (e.g., visual distinction, sensor integration, fit, charging, etc.)
- There is **no** clause, table, or statement that mentions:
  - A target price range
  - Manufacturing cost targets
  - Pricing strategy or market‑positioning price points

#### Conclusion
Based on the supplied context, the PRD focuses on technical and design specifications, user experience goals, and market objectives, but it **does not specify** the eventual consumer price of the new AirPods. If pricing details are required, they would need to be sourced from a separate document or a later version of the PRD.",5,4,8,2.968,0,0.0,0.0,0,0.0
44,What is the purpose of the iCIMS IT Security Policy?,easy,direct_lookup,IT Security Policy,[149],IT-Security-Policy,"[146, 149, 185, 156, 147, 208, 209]","## Purpose of the iCIMS IT Security Policy  

The **iCIMS IT Security Policy** is intended to:

| Goal | Description |
|------|-------------|
| **Protect Subscriber Data & Protected Information** | Safeguard data identified in the Data Security & Privacy Statement (DSPS) and Incident Response Process from accidental or unlawful destruction, loss, alteration, or unauthorized disclosure/access. |
| **Align with Industry Standards & Best Practices** | Reasonably adhere to recognized security frameworks (e.g., ISO 27001, SOC 2) to ensure a robust security posture. |
| **Provide Consistent Security Controls** | Deliver a uniform set of security policies and controls that apply to iCIMS, its customers, and all supporting systems. |
| **Ensure Availability, Integrity, and Confidentiality** | Protect iCIMS proprietary software and managed systems so that data, applications, and services remain available to authorized parties while maintaining their integrity and confidentiality. |
| **Enforce Accountability** | Require all iCIMS personnel to follow the policy, with non‑compliance leading to disciplinary action up to termination. |
| **Facilitate Governance & Auditing** | Support periodic independent audits, certifications, and assessments to verify compliance with the policy. |

### Key Points from the Policy Statement (Section 1)

- **Scope** – Covers protection of subscriber data, proprietary software, and all managed systems.  
- **Standard Alignment** – Mirrors industry standards and best‑practice controls.  
- **Consistent Application** – Ensures the same security expectations for iCims and its customers, limiting per‑customer customizations except where product security settings are customer‑configurable.  
- **Disciplinary Measures** – Failure to comply can result in termination.  
- **Documentation Control** – Printed versions are uncontrolled; the authoritative version resides in Promapp.

> *In summary, the iCIMS IT Security Policy exists to systematically protect data and systems, uphold industry‑standard security practices, and enforce consistent, auditable security controls across the organization and its customers.*",7,6,8,3.481,1,1.0,0.1429,0.5,0.6309
45,Who owns and administers the IT Security Policy at iCIMS?,easy,direct_lookup,IT Security Policy,[156],IT-Security-Policy,"[146, 156, 149, 185, 209, 157, 147]","### Ownership & Administration of the IT Security Policy

| Aspect | Responsible Party |
|--------|-------------------|
| **Owner** | **iCIMS Information Security Department** |
| **Administrator** | **iCIMS Information Security Department** |

> **Reference:** Section **3. OWNERSHIP & ADMINISTRATION** of the policy states: *“This IT Security Policy is owned and administered by iCIMS Information Security Department.”*  

Thus, the **iCIMS Information Security Department** both owns and administers the IT Security Policy.",9,10,9,2.048,1,1.0,0.1429,0.5,0.6309
46,Which systems does the iCIMS IT Security Policy apply to?,easy,paraphrase,IT Security Policy,[156],IT-Security-Policy,"[146, 149, 156, 185, 152, 206, 209]","## Scope of the iCIMS IT Security Policy  

According to **Section 4 – Applicability** of the policy document:

> **“This policy applies to all systems, including network equipment and communication systems, supporting iCIMS internal and remote operations and products and services.”**  

### What is covered

| Category | Description (as defined in the policy) |
|----------|------------------------------------------|
| **All systems** | Every hardware or software asset owned, operated, or managed by iCIMS. |
| **Network equipment** | Devices such as firewalls, routers, switches, hubs, VPN concentrators, WAN links, etc. |
| **Communication systems** | Voice systems, email platforms, instant‑messaging tools, and any other means of electronic communication. |
| **Support for internal operations** | Systems used by iCIMS employees and internal processes (e.g., laptops, servers, workstations, mobile devices). |
| **Support for remote operations** | Systems that enable remote access, teleworking, or cloud‑based services. |
| **Products and services** | All iCIMS‑delivered SaaS offerings, APIs, and customer‑facing applications. |

### Key points

- The policy **supersedes** any other policies, processes, practices, or guidelines that address the same matters, except for the Data Security and Privacy Statement and the Incident Response Policy & Process.  
- The scope is **comprehensive**; there are no exclusions listed for specific system types.  
- Additional, more detailed policies (e.g., key‑management, vendor risk, print management) may be layered on top of this baseline for particular confidential or specialized environments.

> **Bottom line:** *Every* iCIMS system—whether it is network infrastructure, communication tools, internal or remote operational assets, or the company’s products and services—is subject to the IT Security Policy.",7,3,6,3.583,1,1.0,0.1429,0.3333,0.5
47,What encryption standard does the policy require for protecting data stored at rest?,easy,keyword_search,IT Security Policy,[158],IT-Security-Policy,"[158, 165, 172, 147, 159, 160, 204]","### Encryption Standard for Data at Rest  

| Policy Section | Requirement |
|----------------|-------------|
| **Data Protection & Encryption Policy (Section 1.1.1)** | *“Encryption of data at rest shall use **at least AES 256‑bit encryption**.”* |
| **Backup Policy (Section 6.2)** | Backups must be encrypted **following the Data Protection & Encryption Policy**, i.e., using AES‑256 for data at rest. |

**Key Point:**  
- The policy mandates **AES (Advanced Encryption Standard) with a minimum key length of 256 bits** (commonly referred to as **AES‑256**) for all data stored at rest, including regular backups.  

This ensures a strong, industry‑accepted level of confidentiality for Personal Data, PII, SCI, and Subscriber Data when it resides on storage media.",7,6,8,2.235,1,1.0,0.1429,1.0,1.0
48,Which protocols are approved for protecting sensitive information while it is being transmitted?,easy,keyword_search,IT Security Policy,[158],IT-Security-Policy,"[159, 160, 186, 158, 201, 194, 152]","## Approved Transmission‑Security Protocols  

| Protocol | Primary Use | Why It Is Approved |
|----------|-------------|--------------------|
| **TLS 1.2** (Transport Layer Security) | Secures web traffic, API calls, email, and any application‑level communication. | Explicitly cited in the Data Protection & Encryption Policy as a “strong cryptography and security protocol … required to safeguard Personal Data, PII, SCI or Subscriber Data during transmission.” |
| **IPsec** (Internet Protocol Security) | Provides network‑layer encryption for VPNs, site‑to‑site links, and other IP traffic. | Also listed in the same policy clause as a required protocol for protecting data in transit. |

### Key Points from the Policy

- **Encryption is mandatory for all data in transit** – “all data in transit is either encrypted and/or the transmission channel itself is encrypted” (Section 22.1.1).  
- **Unencrypted protocols are prohibited** – protocols such as HTTP, Telnet, FTP, and TFTP must not be used for transmitting sensitive information (Section 17.6.4).  
- **Any additional encrypted channels must conform to the Data Protection & Encryption Policy** – while only TLS 1.2 and IPsec are explicitly named, any other protocol used must be an “encrypted channel as defined in the Data Protection & Encryption Policy.”

### Summary

The **approved protocols for protecting sensitive information while it is being transmitted** are:

- **TLS 1.2**
- **IPsec**

All other transmission methods must meet the same encryption requirements and cannot rely on the listed unencrypted protocols. If a different protocol is considered, it must be reviewed and approved by **Information Security** in accordance with the policy.",7,4,5,5.333,1,1.0,0.1429,0.25,0.4307
49,What hashing algorithm does the IT Security Policy require for storing hashed data?,easy,keyword_search,IT Security Policy,[158],IT-Security-Policy,"[158, 147, 146, 202, 172, 165, 161]","### Hashing Algorithm Required by the IT Security Policy  

| Policy Section | Requirement | Details |
|----------------|-------------|---------|
| **1.5 – Data Protection & Encryption Policy** | **Use **`bcrypt`** for hashing** | - Bcrypt must be used for all hashed data.<br>- It includes an algorithmic salt to protect against rainbow‑table attacks.<br>- It is an adaptive function, allowing the iteration count to be tuned for a balance between security and performance. |
| **Password Policy (2.1.5)** | Hashing of stored passwords must follow the Data Protection & Encryption Policy | - Therefore, passwords stored in the system must also be hashed with **bcrypt**. |

**Answer:** The IT Security Policy mandates that **bcrypt** be used as the hashing algorithm for storing hashed data (including password hashes).",7,6,6,2.252,1,1.0,0.1429,1.0,1.0
50,"If I'm creating a password for an iCIMS system, what minimum requirements do I need to meet?",medium,procedure,IT Security Policy,[161],IT-Security-Policy,"[161, 157, 206, 162, 149, 163, 146]","## Minimum Password Requirements for iCIMS Systems  

| # | Requirement | Details |
|---|-------------|---------|
| **1** | **Length** | Minimum **8 characters**. |
| **2** | **Character composition** (when NIST 800‑63b cannot be applied) | Must contain at least **three** of the following categories: <br>• English uppercase letters (A‑Z) <br>• English lowercase letters (a‑z) <br>• Base‑10 digits (0‑9) |
| **3** | **Non‑alphabetic characters** (recommended) | Use of symbols such as **! $ # %** is encouraged, though not mandatory. |
| **4** | **User‑ID relationship** | Password **must not be the same as** or **contain the user ID**. |
| **5** | **Guessability** | Password **must not be easily guessable** (e.g., common words, patterns). |
| **6** | **Visibility while typing** | Passwords are **not visible by default**, but may be shown while typing if the system permits. |
| **7** | **Paste‑in support** | “Paste‑in” of passwords is **allowed**. |
| **8** | **Password hints** | **No password hints** may be used. |
| **9** | **First‑time password** | Must be a **unique value for each user** and **changed immediately** after first use. |
| **10** | **Password history** | The **previous six passwords** are retained; the new password must be **unique** compared to that history. |
| **11** | **Lockout after failed attempts** (creation‑related policy) | Account is **locked after seven (7) incorrect attempts**; lockout lasts **≥ 30 minutes** or until admin reset. *(This is a post‑creation enforcement rule, but it is part of the overall password policy.)* |

### How to Apply These Requirements

1. **Start with length** – ensure the password is at least 8 characters.  
2. **Add character variety** – if you cannot rely on NIST 800‑63b, include at least three of the three categories listed above.  
3. **Avoid user‑identifying information** – do not embed your username, employee number, or any part of your user ID.  
4. **Make it unpredictable** – avoid dictionary words, common phrases, or simple patterns (e.g., “Password123”).  
5. **Use symbols if possible** – while not required, adding symbols improves strength.  
6. **Enter it securely** – the field will mask the characters; you may enable “show while typing” if the system offers it.  
7. **Do not rely on hints** – the system will reject any hint usage.  
8. **Change the temporary password** – after first login, set a new, unique password that meets all the above rules.  

### Summary

To create a compliant iCIMS password, **use at least 8 characters**, include **three of the three basic character types** (uppercase, lowercase, digits) when NIST 800‑63b cannot be applied, **avoid any part of your user ID**, make it **hard to guess**, **do not use hints**, and **change any initial temporary password immediately**. Following these steps ensures the password meets the organization’s minimum security standards.",4,2,3,4.914,1,1.0,0.1429,1.0,1.0
51,How many incorrect login attempts are allowed before an account is locked according to the password policy?,easy,keyword_search,IT Security Policy,[162],IT-Security-Policy,"[162, 161, 165, 206, 147, 164, 163]","### Answer

According to the **Password Policy** in the provided document:

- **User accounts shall be locked after seven (7) incorrect attempts.**  
  - This is specified in section **2.1.9** of the policy.

#### Summary

| Policy Section | Requirement |
|----------------|-------------|
| **2.1.9** | Lock account after **7** failed login attempts |

Therefore, **seven (7) incorrect login attempts** are allowed before an account is locked.",10,10,9,2.904,1,1.0,0.1429,1.0,1.0
52,How long does an account remain locked after too many failed password attempts?,easy,direct_lookup,IT Security Policy,[162],IT-Security-Policy | Employee-Handbook,"[162, 206, 165, 161, 233, 163, 177]","**Account Lockout Duration**

| Policy Reference | Condition | Minimum Lockout Time | Additional Notes |
|------------------|-----------|----------------------|------------------|
| **2.1.9 – 2.1.9.1** (General User Accounts) | After **7** consecutive incorrect password attempts | **30 minutes** (minimum) | The lockout can be ended earlier only if an administrator manually resets the user’s ID after verifying the user’s identity. |
| **26.6** (Voice‑mail PIN) | After **3** incorrect PIN attempts | *Not specified* in the provided text | The policy only states that the caller is locked out; no explicit duration is given. |

### Summary
- For standard user accounts, the account remains locked **for at least 30 minutes** after the threshold of failed attempts is reached.  
- An administrator may unlock the account sooner, but only after proper identity verification.  
- The voice‑mail PIN lockout policy does not define a lockout duration in the supplied context.",7,7,6,2.882,1,1.0,0.1429,1.0,1.0
53,Can employees install any software they want on company-managed computers?,medium,paraphrase,IT Security Policy,[166],IT-Security-Policy | Employee-Handbook,"[166, 254, 218, 230, 231, 207, 233]","## Short Answer  
**No.** Employees are **not** allowed to install any software they want on company‑managed computers.

---

## Why Installation Is Restricted  

| Policy Reference | Requirement | Who May Install |
|------------------|-------------|-----------------|
| **3.1** – Authorized Software Policy | Only **authorized, supported, and properly licensed** software may be installed on iCIMS‑owned or managed systems. | – |
| **3.2** – Authorized Software Policy | Installation must be performed **only by IT administrators or specific personnel approved by Information Security** who have been granted administrator access. | IT admins **or** approved personnel with admin rights |
| **3.3** – Authorized Software Policy | Use of **unauthorized software is prohibited**; any discovered unauthorized software must be removed immediately. | – |
| **3.5** – Authorized Software Policy | All software (including free, shareware, open‑source, SaaS) must undergo a **security review and approval** before production release. | – |
| **3.6** – Authorized Software Policy | Software that is **end‑of‑life and no longer supported** is considered **unauthorized**. | – |

### Key Points

- **Only pre‑approved software** (i.e., software that has passed the security review) may be installed.
- **Only designated administrators** (IT staff or specially authorized individuals) have the rights to perform installations.
- **Employees without those privileges** must **not** install software on their own; doing so would violate the policy and require immediate removal of the software.

---

## What Employees Should Do If They Need New Software

1. **Submit a request** for the software to be reviewed (per §3.5).  
2. Wait for **security approval** from the Information Security team.  
3. Once approved, the **authorized IT administrator** will perform the installation.  

---

## Consequences of Non‑Compliance  

- Installing unauthorized software breaches the policy (§3.3) and may lead to **immediate removal** of the software.  
- Repeated violations could result in **disciplinary action** as defined by broader company policies (not detailed in the provided excerpt).  

---

**Bottom line:** Employees must go through the proper approval and installation channels; they cannot freely install any software they desire on company‑managed computers.",7,8,9,4.198,1,1.0,0.1429,1.0,1.0
54,What should happen if unauthorized software is found on an iCIMS-managed system?,easy,procedure,IT Security Policy,[166],IT-Security-Policy,"[166, 207, 180, 146, 152, 149, 154]","## Response to Unauthorized Software on an iCIMS‑Managed System  

| Policy Reference | Requirement |
|------------------|-------------|
| **3.3 – Authorized Software Policy** | “The use of unauthorized software is prohibited. **Immediate removal of unauthorized software is required if discovered.**” |
| **27.2 – Inventory Management Policy** (audit items) | Audits must track **unauthorized copies of software** and **unauthorized changes to hardware/software configurations**. |
| **General Policy Statement (Section 1)** | Failure to follow policy may result in **disciplinary action, up to and including termination**. |

### Recommended Action Flow

1. **Detect the Unauthorized Software**  
   - Through routine audits (Policy 27.2) or monitoring tools (Policy 9.6).

2. **Immediate Removal**  
   - Stop the software from running.  
   - Uninstall/delete all related files, registry entries, and configuration artifacts.

3. **Notify the Appropriate Parties**  
   - Report the incident to **Information Security** (the authority that approves exceptions).  
   - Inform the **IT Administrator** or the **IT Department** responsible for the affected system.

4. **Document the Incident**  
   - Record:  
     - Software name, version, and source.  
     - System(s) affected.  
     - Date/time of discovery and removal.  
     - Person(s) who performed the removal.  

5. **Update the Asset Inventory**  
   - Ensure the software is no longer listed in the inventory of authorized assets (Policy 27.1).  

6. **Root‑Cause Review (Optional but Recommended)**  
   - Determine how the software was installed (e.g., user action, mis‑configuration).  
   - Apply corrective controls to prevent recurrence (e.g., tighten admin rights, improve monitoring).

7. **Enforce Policy Consequences**  
   - If the installation violated policy (e.g., performed by an unauthorized user), follow the disciplinary process outlined in the **Policy Statement** (Section 1).

### Summary

- **Immediate removal** of the unauthorized software is mandatory.  
- **Report** the finding to Information Security and the IT team.  
- **Document** the incident and **update the inventory** to reflect the change.  
- **Review** how the software got onto the system and apply preventive measures.  
- **Apply disciplinary actions** if policy violations are confirmed.  

These steps ensure compliance with the **Authorized Software Policy (3.3)**, maintain accurate inventory per **Inventory Management Policy (27.1‑27.2)**, and uphold the overall security posture of iCIMS.",6,3,5,4.915,1,1.0,0.1429,1.0,1.0
55,What physical security practices are employees expected to follow when leaving their workspace?,medium,paraphrase,IT Security Policy,[167],IT-Security-Policy | Leave-Policy | Employee-Handbook,"[167, 168, 189, 122, 193, 184, 254]","### Physical‑Security Practices When Leaving Your Workspace  

| Practice | What You Must Do | Policy Reference |
|----------|------------------|-------------------|
| **Clean‑Desk / Clean‑Screen** | • Remove any printed or hard‑copy material that contains SCI, PII, PI, or customer data unless it is absolutely required.<br>• Store any remaining sensitive documents in a locked drawer or cabinet.<br>• Clear or hide any on‑screen information that could be viewed by others. | 4.3 – “Personnel and authorized third parties shall follow clean desk/clean screen best practices, especially when stepping away from workspaces.” |
| **Lock / Log‑out / Shut‑down Workstation** | • Lock the computer (e.g., Windows + L, Ctrl‑Alt‑Delete → Lock) before walking away, even for a short period.<br>• If you will be away for an extended time, log out or shut down the workstation.<br>• Ensure the session cannot be resumed without proper authentication. | 15.1 – “Users shall shutdown, logout or lock workstations when leaving them for any length of time.” |
| **Secure Physical Access** | • Keep the door to your office or cubicle closed and, where applicable, use any badge‑controlled lock.<br>• Do not prop doors open or allow unauthorized persons to linger in the area. | Implied by 4.4 – “Facility entry controls shall be used to limit and monitor physical access to systems …” |
| **Visible Identification** (when applicable) | • Wear your employee/contractor badge visibly if you are in a data‑center or other high‑security area.<br>• Ensure visitors are escorted or supervised while you are away. | 4.4.5‑4.4.7 – Identification and supervision requirements for physical data‑center access. |

#### Quick Checklist for Leaving Your Desk

- ☐ **Clear the desk** of any printed sensitive material or store it securely.  
- ☐ **Hide or close** any on‑screen data that could be viewed by passers‑by.  
- ☐ **Lock** the workstation (or log out / shut down if you’ll be away longer).  
- ☐ **Close the door** and engage any badge‑controlled lock if available.  
- ☐ **Display your ID badge** (if required by the area you are in).  

Following these steps helps ensure that confidential information and critical systems remain protected when you are not at your workstation.",5,3,6,4.397,1,1.0,0.1429,1.0,1.0
56,How often must backups be performed for critical systems containing production Subscriber Data or PII?,easy,keyword_search,IT Security Policy,[172],IT-Security-Policy,"[172, 176, 188, 168, 205, 171, 175]","### Backup Frequency Requirement for Critical Systems

According to the **Backup Policy** (section 6.4) in the IT Security Policy document:

| **System Type** | **Required Backup Frequency** |
|-----------------|------------------------------|
| Critical systems **and** systems that contain **production Subscriber Data, Personal Data, and/or PII** | **At least once per day** (daily backups) |

**Key Points**

- **Daily backups** are the minimum required cadence.  
- This applies to **all critical systems** as well as any system that stores **production Subscriber Data, Personal Data, or Personally Identifiable Information (PII)**.  
- The policy does not specify a maximum interval; therefore, organizations may choose to back up more frequently (e.g., multiple times per day) if desired, but they must meet the **minimum daily** requirement.  

> *“Backups for critical systems and systems that contain production Subscriber Data, Personal Data and/or PII shall be performed on at least a daily basis.”* – IT Security Policy, Backup Policy §6.4

Thus, to remain compliant, ensure that **daily backups** are scheduled and successfully completed for all such systems.",9,10,9,2.559,1,1.0,0.1429,1.0,1.0
