id,question,expected_answer,expected_document,expected_chunk_ids,difficulty,category,notes
66,How should removable media containing Personal Data be handled before it is allowed for use?,"It must be approved and documented by Information Security and the Privacy team, encrypted according to the Data Protection & Encryption Policy, and handled following company security procedures.",IT Security Policy,"[204, 205]",hard,multi_section,
67,Does the IT Security Policy specify which antivirus software vendor employees must install on their computers?,No. The policy requires up-to-date antivirus software but does not specify a particular antivirus product or vendor.,IT Security Policy,[173],medium,negative,
68,I'm working from home and need to access company systems remotely. What security measures must I follow according to the IT Security Policy?,"Remote access must use two-factor or multi-factor authentication where required, follow the Remote Access Policy, and connect securely to company resources.",IT Security Policy,[178],medium,scenario,
69,How do the Backup Policy and Disaster Recovery Policy work together to protect company data?,"The Backup Policy requires regular backups of critical systems, while the Disaster Recovery Policy ensures those backups can be used to restore systems and maintain business continuity after a disruption.",IT Security Policy,"[172, 175]",hard,comparison,
70,An employee accidentally leaves confidential information visible on their desk before leaving the office. Which policy requirement applies?,Employees are expected to follow clean desk and clean screen practices and properly secure sensitive information before leaving their workspace.,IT Security Policy,[167],medium,scenario,
71,Does the IT Security Policy require employees to change their passwords every 30 days?,No. The policy does not require passwords to be changed every 30 days.,IT Security Policy,"[161, 162]",medium,negative,
72,"If an employee's account becomes locked after repeated failed login attempts, what happens next?",The account remains locked for at least 30 minutes or until an administrator verifies the user's identity and resets the account.,IT Security Policy,[162],medium,scenario,
73,What security controls are required before software changes can be deployed into production?,"Software changes must undergo testing, security validation, role-based access control verification, secure communications checks, performance evaluation, proper test data handling, account cleanup, and approved change management procedures before production deployment.",IT Security Policy,[199],hard,procedure,
74,How does the IT Security Policy protect sensitive information both while it is stored and while it is transmitted?,"Stored data must be protected using at least AES 256-bit encryption, while data in transit must be protected using strong cryptography such as TLS 1.2 or IPSEC.",IT Security Policy,[158],medium,comparison,
75,An employee wants to copy Personal Data onto a USB drive for business purposes. What must happen before this is allowed?,"The removable media must receive approval from Information Security and the Privacy team, be properly documented, encrypted according to the Data Protection and Encryption Policy, and handled following company security procedures.",IT Security Policy,"[204, 205]",hard,scenario,
76,"I'm joining this company next week. According to the employee handbook, what types of employment contracts can I be hired under, and which employees receive the full benefits package?","Employees can be hired as full-time or part-time, and either temporary or indefinite duration. Full-time employees under an indefinite duration contract receive the company's full benefits package.",Employee-Handbook.pdf,"[212, 213]",hard,multi_section,
77,"As a hiring manager, what are the major steps I should follow before making an official job offer?","The process includes identifying the hiring need, deciding internal or external hiring, preparing and approving the job ad, posting it, defining hiring stages, reviewing resumes, sourcing candidates, shortlisting, interviewing, running background checks and references, selecting the candidate, and making the official offer.",Employee-Handbook.pdf,"[214, 215, 216]",hard,multi_section,
78,"If I refer a Data Scientist who gets hired, how much referral bonus could I receive?",The referral reward example for hiring a Data Scientist is $6000.,Employee-Handbook.pdf,[216],easy,direct_lookup,
79,"Can I refer multiple people to the company, or is there a limit on referral rewards?","There is no cap on the number of referrals an employee can make, and rewards will be paid accordingly.",Employee-Handbook.pdf,[217],medium,paraphrase,
80,"Before sharing confidential company information with another employee, what responsibilities do I have?","Confidential information should be secured, viewed only on secure devices, shared only when necessary and authorized, and kept within company premises unless absolutely necessary.",Employee-Handbook.pdf,[219],medium,procedure,
81,"If I accidentally receive a phishing email on my company account, what does the handbook recommend I do?","Employees should use strong passwords, stay alert for malware or phishing emails, and ask Security Specialists if they are unsure whether an email is safe.",Employee-Handbook.pdf,"[232, 233]",medium,multi_section,
82,"As someone representing the company on social media, what responsibilities do I have before posting important announcements?","Representatives should protect the company's reputation, follow confidentiality and copyright policies, coordinate with the PR/Marketing department before major-impact content, and quickly correct misleading information.",Employee-Handbook.pdf,"[234, 235]",hard,multi_section,
83,"I'm dating someone who reports directly to me. According to the employee handbook, is this allowed?","No. Managers and supervisors must not date their direct reports to avoid favoritism, abuse of authority, and sexual harassment concerns.",Employee-Handbook.pdf,[237],easy,direct_lookup,
84,My relative has applied for a position on my hiring committee. What restrictions apply in this situation?,"Employees cannot participate in a hiring committee when their relative is being interviewed, cannot supervise a relative, and cannot be hired or promoted into a reporting relationship with a relative.",Employee-Handbook.pdf,[238],medium,procedure,
85,"I'm planning a work-from-home day next week. How far in advance should I request it, and what should I do if there's an emergency?","Employees should request work from home through the HRIS at least two days in advance. During emergencies, they may work from home without prior approval but should call or email their manager as soon as possible, or contact HR if the manager is in another time zone.",Employee-Handbook.pdf,[249],medium,procedure,
86,What's the difference between working from home and remote working according to the employee handbook?,"Work from home is occasional, normally one day per week with advance approval. Remote working refers to working from a non-office location temporarily or permanently, with office-based employees generally allowed up to two consecutive weeks per year under specified circumstances.",Employee-Handbook.pdf,"[249, 250]",hard,comparison,
87,"I paid for a business trip myself. How long do I have to submit my receipts, and when should I expect reimbursement?","Receipts should be submitted through the expense software within three months of the expense. After manager approval, reimbursement is provided within two pay periods.",Employee-Handbook.pdf,[251],medium,procedure,
88,My company laptop was stolen while I was traveling. What should I do according to the employee handbook?,"Report the theft within 24 hours, file a police theft statement and submit a copy, keep devices password protected, use secure networks, and follow encryption, anti-malware, and password management instructions.",Employee-Handbook.pdf,[255],hard,multi_section,
89,"How many paid time off (PTO) days does a new employee receive each year, and how quickly are they earned?","Employees receive 20 days of PTO per year, accruing at 1.7 days per month beginning on their joining date.",Employee-Handbook.pdf,[256],easy,direct_lookup,
90,"I have the flu today. Besides informing my manager, what else does the handbook expect me to do?","Employees should inform their manager, submit a sick leave request through the HRIS, rest before returning to work, and may be asked for a physician's note if absent for more than three days.",Employee-Handbook.pdf,"[258, 259]",hard,multi_section,
91,"If I'm expecting my first child, how much paid parental leave does the company provide, and how much notice should I give HR?","The company offers three months of paid maternity and paternity leave, and employees should notify HR at least three months before the leave begins.",Employee-Handbook.pdf,[262],medium,paraphrase,
92,"As a manager starting disciplinary action against an employee, what process am I expected to follow?","Managers should inform the employee, involve HR, follow the progressive discipline process when appropriate, document every stage, and understand that serious offenses may result in immediate termination.",Employee-Handbook.pdf,"[264, 265, 266]",hard,multi_section,
93,How much resignation notice should I ideally provide if I'm leaving a regular position versus a highly specialized or executive role?,"Employees are encouraged to provide at least two weeks' notice, while highly specialized or executive employees should ideally provide at least one month's notice.",Employee-Handbook.pdf,[266],medium,comparison,
94,"From a CEO's perspective, what documentation should managers maintain before terminating an employee for poor performance?",Managers should keep accurate performance and disciplinary records to support termination decisions and avoid wrongful dismissal.,Employee-Handbook.pdf,[268],medium,paraphrase,
95,Where in the employee handbook can I find the company's reimbursement policy for cryptocurrency purchases made during business travel?,The handbook does not mention reimbursement for cryptocurrency purchases during business travel.,Employee-Handbook.pdf,[251],easy,negative,
96,"Which section mentions the '$3000 referral bonus', and under what condition is it awarded?",The Referrals section states that employees may receive a $3000 referral bonus if their referred candidate is hired.,Employee-Handbook.pdf,[216],easy,direct_lookup,
97,I'm searching for the policy mentioning '24 hours'. What event requires action within that time?,Employees must report stolen or damaged company equipment within 24 hours.,Employee-Handbook.pdf,[255],easy,direct_lookup,
98,"Which employee policy refers to '1.7 days per month', and what does that number represent?",The Paid Time Off (PTO) policy states that employees accrue PTO at a rate of 1.7 days per month.,Employee-Handbook.pdf,[256],easy,direct_lookup,
99,I remember reading something about 'two consecutive weeks' in the handbook. What does that policy refer to?,"It refers to remote working, where office-based employees may work remotely for a maximum of two consecutive weeks per year under eligible circumstances.",Employee-Handbook.pdf,[250],medium,paraphrase,
100,I'm looking for the handbook section that mentions 'three days'. In what different situations does this number appear?,"Three days appears in multiple contexts: managers should provide at least three days' notice before holiday work, employees may need a physician's note after more than three days of sick leave, the company provides three days of paid bereavement leave, and employees absent for three consecutive days without notice may be considered resigned.",Employee-Handbook.pdf,"[258, 259, 260, 266]",hard,multi_section,
101,I'm working remotely using a company laptop. What security and confidentiality responsibilities apply to me?,"Employees working remotely must use secure internet connections and devices, follow the confidentiality policy when handling company information, keep company-issued devices password protected, use secure networks, install updates, and follow encryption, anti-malware, and password management instructions.",Employee-Handbook.pdf,"[219, 249, 255]",hard,multi_section,
102,Can I use my company email to advertise my personal business?,"No. Company email should primarily be used for work, and employees should avoid sending unauthorized marketing content or using company resources inappropriately.",Employee-Handbook.pdf,[233],medium,negative,
103,"If I witness workplace harassment involving my manager, who should I report it to?","Employees should contact HR as soon as possible, especially if their manager is involved. HR will keep the report confidential and investigate appropriately.",Employee-Handbook.pdf,[221],medium,scenario,
104,How do the Work From Home and Remote Working policies differ in terms of approval and eligibility?,"Work From Home is intended for occasional work, normally one day per week with advance notice, while Remote Working allows eligible office-based employees to work from a non-office location for up to two consecutive weeks per year or permanently under approved circumstances.",Employee-Handbook.pdf,"[249, 250]",hard,comparison,
105,What company policies should I keep in mind before posting company information on my personal social media account?,"Employees should avoid sharing confidential information or intellectual property, make it clear that personal opinions do not represent the company, and obtain approval before sharing unannounced company news.",Employee-Handbook.pdf,"[219, 234]",hard,multi_section,
106,A patient is about to receive a medication they've never taken before. What should the healthcare team do before giving it and what follow-up is expected afterwards?,"The healthcare professional should explain the treatment and possible side effects, ensure monitoring requirements are understood, monitor the patient's response after the first dose, assess effectiveness and adverse effects, document the response, and physicians should arrange follow-up care if treatment changes are needed.",Medication-Administration-Policy.pdf,"[276, 281, 287, 288]",hard,multi_section,
107,"I noticed a patient's allergy just before giving the medicine, and the prescription is also difficult to read. What should I do before administering anything?","The nurse should verify the allergy, avoid making assumptions about the unclear order, contact the prescriber or Clinical Pharmacist for clarification, assess whether the medication is safe, document notifications, and withhold administration if appropriate.",Medication-Administration-Policy.pdf,"[280, 286, 287, 288]",hard,scenario,
108,I'm preparing insulin through an IV for a child. What checks should happen before the medication is actually administered?,"The child should be weighed and age verified for weight-based dosing, dosage calculations should be verified, two registered practitioners should verify the high-risk IV medication, calculations should be triple checked, and any doubts should be clarified with the prescriber or Clinical Pharmacy.",Medication-Administration-Policy.pdf,"[278, 282, 285, 286]",hard,multi_section,
109,A patient develops a serious reaction shortly after I administer medication. What should happen next?,"The patient should be assessed for adverse effects and medication effectiveness, the reaction documented, the prescriber informed, medication considered for withholding if necessary, ADR reporting initiated, and the physician and Clinical Pharmacist notified for continued monitoring.",Medication-Administration-Policy.pdf,"[281, 286, 287, 292]",hard,multi_section,
110,"We're giving morphine to an inpatient. Besides giving the injection safely, what documentation and verification are required?","The prescription should be verified as valid, patient identity confirmed, another registered nurse should witness administration, administration details should be documented in patient records, WCD Register and Nursing Kardex/Hospital Information System, and appropriate signatures completed.",Medication-Administration-Policy.pdf,"[282, 284, 285]",hard,procedure,
111,A student nurse is administering medication while the registered nurse briefly leaves the room. Is that acceptable according to the policy?,"No. Student nurses may administer medication only under the direct supervision of a registered nurse, who remains responsible for ensuring the correct procedure. Medication administration is limited to competent authorized healthcare professionals.",Medication-Administration-Policy.pdf,"[277, 282]",medium,negative,
112,A patient refuses medication after I explain the possible side effects. What responsibilities do I have after that refusal?,"The healthcare professional should explain the consequences of refusal, ensure the patient understands them, notify the physician, document both the refusal and notification, record that the medication was not administered if appropriate, and document the reason.",Medication-Administration-Policy.pdf,"[276, 280, 281]",medium,scenario,
113,"While checking medication, I notice the vial looks discolored and I'm not completely confident about using it. What does the policy expect me to do?","The medication should be visually inspected, expiry verified, concerns resolved with the pharmacist, prescriber or other appropriate staff before administration, and medication should not be administered until concerns are addressed.",Medication-Administration-Policy.pdf,"[282, 286, 287]",medium,scenario,
114,"During a busy shift, I documented the medication before actually administering it so I wouldn't forget. Is that acceptable, and what should happen after the medication is given instead?","No. Documentation should never occur before administration. After administration, the patient's response, effectiveness, adverse effects, and medication administration details should be documented appropriately in the patient's records.",Medication-Administration-Policy.pdf,"[281, 288]",medium,negative,
115,"A patient is receiving a controlled drug for the first time and later experiences breathing difficulty. Based on the policy, what should have happened before administration and what follow-up actions are required afterwards?","Before administration, authorized staff should verify the prescription, confirm patient identity, use a witnessing nurse, complete controlled drug documentation, and ensure naloxone availability where required. After administration, the patient should be monitored for adverse effects, the reaction documented, the prescriber informed, medication withheld if appropriate, ADR reporting initiated, and the physician and Clinical Pharmacist notified.",Medication-Administration-Policy.pdf,"[283, 284, 285, 286, 287, 292]",hard,multi_section,
116,"A patient's medication isn't working as expected after a few doses. According to the policy, what should the healthcare team consider and who is responsible for monitoring the situation?","The patient's response should be continuously monitored according to clinical needs. If the medication is ineffective or risks outweigh benefits, therapy should be stopped following protocol. Physicians should evaluate the patient's response and nurses should continue monitoring, documenting findings, and notifying the physician or Clinical Pharmacist when necessary.",Medication-Administration-Policy.pdf,"[276, 281, 287]",hard,multi_section,
117,"Before giving medication, what checks should I perform to make sure I'm giving the correct medicine to the correct patient at the correct dose?","The healthcare professional should verify the patient's identity and allergies, perform triple checks on the medication label, compare the medication with the physician's order, verify dosage calculations, ensure the dose is appropriate for the patient, and have calculations checked by another nurse where required.",Medication-Administration-Policy.pdf,"[278, 279, 280]",medium,procedure,
118,"A doctor prescribed a controlled drug but also wants to prepare, dispense and administer it personally. Is that normally allowed, and what safeguards still apply during administration?","Except in exceptional circumstances, the prescriber should not personally prepare, dispense and administer the same controlled drug. Administration should follow controlled drug procedures including patient identification, witnessing by another registered nurse, and required documentation.",Medication-Administration-Policy.pdf,"[282, 284, 285]",hard,comparison,
119,"A patient asks why you're checking their wristband, asking about allergies again, and explaining the medicine before giving it. Why are all these steps necessary?","The patient's identity and allergies must be verified before administration, patients should be informed about the medication and possible side effects, and these checks help ensure the medication is appropriate and safely administered.",Medication-Administration-Policy.pdf,"[278, 280, 276]",medium,multi_section,
